t,v_ref,w_ref,delta_ref,v_cmd,delta_cmd,v_meas,delta_meas,v_err,delta_err,clamped,vel_rate_limited,steer_rate_limited,fl,fr,rl,rr,steer_l,steer_r,heading,curvature,x,y
0.22000000,1.00000000,0.50000000,0.46364761,0.17885000,0.17600000,0.07735000,0.17600000,0.92265000,0.28764761,0,0,1,10.96703199,12.16313927,10.77848150,11.99340776,0.18569853,0.16725524,0.00100541,0.17784006,0.00893200,0.00000382
0.23000000,1.00000000,0.50000000,0.46364761,0.18235000,0.18400000,0.08085000,0.18400000,0.91915000,0.27964761,0,0,1,11.17152100,12.44584438,10.96062693,12.25689616,0.19461514,0.17447178,0.00114936,0.18610501,0.00974050,0.00000475
0.24000000,1.00000000,0.50000000,0.46364761,0.18585000,0.19200000,0.08435000,0.19200000,0.91565000,0.27164761,0,0,1,11.37650126,12.73105919,11.14157994,12.52157700,0.20357387,0.18165761,0.00130653,0.19439461,0.01058400,0.00000585
0.25000000,1.00000000,0.50000000,0.46364761,0.18935000,0.20000000,0.08785000,0.20000000,0.91215000,0.26364761,0,0,1,11.58203196,13.01883409,11.32133131,12.78745947,0.21257475,0.18881310,0.00147752,0.20271004,0.01146250,0.00000715
0.26000000,1.00000000,0.50000000,0.46364761,0.19285000,0.20800000,0.09135000,0.20800000,0.90865000,0.25564761,0,0,1,11.78817333,13.30922022,11.49987150,13.05455312,0.22161776,0.19593863,0.00166293,0.21105247,0.01237600,0.00000867
0.27000000,1.00000000,0.50000000,0.46364761,0.19635000,0.21600000,0.09485000,0.21600000,0.90515000,0.24764761,0,0,1,11.99498674,13.60226953,11.67719057,13.32286789,0.23070287,0.20303457,0.00186337,0.21942313,0.01332449,0.00001044
0.28000000,1.00000000,0.50000000,0.46364761,0.19985000,0.22400000,0.09835000,0.22400000,0.90165000,0.23964761,0,0,1,12.20253470,13.89803478,11.85327819,13.59241411,0.23983003,0.21010130,0.00207946,0.22782323,0.01430799,0.00001248
0.29000000,1.00000000,0.50000000,0.46364761,0.20335000,0.23200000,0.10185000,0.23200000,0.89815000,0.23164761,0,0,1,12.41088092,14.19656962,12.02812367,13.86320248,0.24899918,0.21713919,0.00231182,0.23625400,0.01532649,0.00001484
0.30000000,1.00000000,0.50000000,0.46364761,0.20685000,0.24000000,0.10535000,0.24000000,0.89465000,0.22364761,0,0,1,12.62009033,14.49792864,12.20171589,14.13524409,0.25821026,0.22414863,0.00256106,0.24471670,0.01637999,0.00001754
0.31000000,1.00000000,0.50000000,0.46364761,0.21035000,0.24800000,0.10885000,0.24800000,0.89115000,0.21564761,0,0,1,12.83022915,14.80216734,12.37404335,14.40855047,0.26746314,0.23112999,0.00282782,0.25321261,0.01746848,0.00002061
